outcome,pred_fog,G1,G2,G3,G4,G5
correct-reject,1.6408861e-06,-0.009675451015928373,-0.009679514370849324,-0.009680440110598062,-0.009677860739357922,-0.009678602391405227
correct-reject,2.7183332e-05,-0.009653397992694143,-0.009645472740983789,-0.009781345290199124,-0.009645473115637623,-0.009640619488624243
correct-reject,4.1975437e-07,-0.009677289288808417,-0.009678015664247216,-0.009683222832071504,-0.00967816762982536,-0.009676393213186411
correct-reject,7.1297074e-10,-0.009678657433863267,-0.009678811381839254,-0.009678491301452527,-0.009678706241460463,-0.00967884155652341
correct-reject,2.9359464e-06,-0.00967900496798529,-0.009678562993233405,-0.00967813071050655,-0.009676812656802631,-0.009678057299611036
correct-reject,8.034047e-08,-0.009706834613187337,-0.009656025600601774,-0.00968120735953219,-0.009694105229005948,-0.009655255525811667
correct-reject,9.052269e-09,-0.009798992625200672,-0.009599380591204014,-0.009605456578582914,-0.009795239357481847,-0.00959443042566946
correct-reject,8.032033e-10,-0.00953291977046054,-0.009775012097505609,-0.009532689274556916,-0.009776449383417062,-0.009776437299198786
correct-reject,5.1191854e-08,-0.009676894842930448,-0.009679703398542504,-0.009677087287695646,-0.009680553866049196,-0.009679218032921122
correct-reject,5.780833e-10,-0.009741118606853335,-0.009721622992665772,-0.00968446976933031,-0.009703309578026582,-0.009542987103262908
correct-reject,3.1469507e-09,-0.009681144428679697,-0.009676542830390652,-0.009680058157977248,-0.009678825377361481,-0.009676934683729842
correct-reject,1.4950389e-09,-0.009679037875514915,-0.009678800702279633,-0.009679182747070199,-0.009677279611568678,-0.009679206191705493
correct-reject,3.2019625e-07,-0.009650884604951391,-0.009645901695377424,-0.009700134670798579,-0.009698246929134638,-0.009698020727876878
correct-reject,2.401168e-08,-0.009675113262912524,-0.00967897729643117,-0.009703355204031323,-0.009683477423234839,-0.009652561441529067
correct-reject,2.888544e-08,-0.009545487290963677,-0.009708534028719736,-0.009720662274889219,-0.009711806259068948,-0.00970698987449734
correct-reject,1.872146e-10,-0.009672775202580973,-0.009680830752791756,-0.009680250434092373,-0.009679433786578425,-0.00968021826509539
correct-reject,4.0051255e-08,-0.009704222711432784,-0.009704292294618479,-0.009728857875512458,-0.009554152501849959,-0.009701943144725235
correct-reject,1.2828333e-07,-0.009701243034835534,-0.009687961621776603,-0.009709286648125651,-0.009652745365239652,-0.009642143958161466
correct-reject,2.5274767e-06,-0.009319597758941542,-0.00976441704880553,-0.00982818962422236,-0.00976101103026627,-0.009717763165903217
correct-reject,3.8528302e-08,-0.008763406112558294,-0.009904693960438889,-0.009908912839666615,-0.00990812793190737,-0.009908329283567741
correct-reject,8.8362526e-07,-0.009662450449564665,-0.009677511604183033,-0.009671180472097406,-0.009690608075145383,-0.009690874027148423
correct-reject,3.5878072e-06,-0.009671707196021844,-0.009671331194944763,-0.009693277605287584,-0.009678790353130014,-0.00967481227875471
correct-reject,2.5795248e-07,-0.009667666016566816,-0.009665255805395753,-0.00972837099741311,-0.009670466242596033,-0.009661491566167201
correct-reject,1.3304887e-07,-0.009690682629419937,-0.009671247046469808,-0.009695591364781804,-0.009667209162471243,-0.009668645424996125
correct-reject,1.3415584e-05,-0.009648802316878863,-0.00965722851565154,-0.009753728632426083,-0.009659572552379347,-0.009660776610803081
correct-reject,8.76841e-06,-0.009686817581766543,-0.009665478186814349,-0.00966721496638858,-0.009681802361489985,-0.00968342553167946
correct-reject,1.968582e-06,-0.009551285812327018,-0.009755441777508825,-0.00964188194240521,-0.00972540927944796,-0.009717519816449902
correct-reject,2.1132707e-09,-0.009647406980316551,-0.009700576307760434,-0.009679984628649945,-0.00968276395992674,-0.009682774641485243
correct-reject,3.284291e-05,-0.009662395138744595,-0.009631883360513049,-0.009707844564518696,-0.009692872027143414,-0.009665713537219168
correct-reject,1.3798491e-06,-0.009668314681192372,-0.00968404254325434,-0.00967427332184167,-0.009680360497220233,-0.0096851375846303
