Date,VIS,CAT
20130101,5,1
20130101,7,1
20130101,10,1
20130101,10,1
20130104,10,1
20130104,10,1
20130104,10,1
20130104,10,1
20130105,10,1
20130105,10,1
20130105,4,1
20130105,10,1
20130107,10,1
20130107,10,1
20130107,10,1
20130107,10,1
20130110,7,1
20130110,7,1
20130110,10,1
20130110,10,1
20130111,10,1
20130111,0.25,0
20130111,10,1
20130111,0.5,0
20130112,0.5,0
20130112,2.5,1
20130112,3,1
20130112,2,1
20130116,10,1
20130116,10,1
20130116,10,1
20130116,10,1
20130117,10,1
20130117,10,1
20130117,10,1
20130117,10,1
20130118,10,1
20130118,10,1
20130118,10,1
20130118,10,1
20130121,10,1
20130121,10,1
20130121,10,1
20130121,10,1
20130122,10,1
20130122,10,1
20130122,10,1
20130122,10,1
20130123,7,1
20130123,5,1
20130123,10,1
20130123,10,1
20130124,7,1
20130124,7,1
20130124,10,1
20130124,10,1
20130125,7,1
20130125,5,1
20130125,10,1
20130125,7,1
20130126,7,1
20130126,7,1
20130126,10,1
20130126,10,1
20130127,10,1
20130127,7,1
20130127,7,1
20130127,7,1
20130130,10,1
20130130,10,1
20130130,10,1
20130130,10,1
20130131,10,1
20130131,10,1
20130131,10,1
20130131,10,1
20130202,10,1
20130202,10,1
20130202,10,1
20130202,10,1
20130203,10,1
20130203,10,1
20130203,10,1
20130203,10,1
20130205,7,1
20130205,2.5,1
20130205,10,1
20130205,7,1
20130207,7,1
20130207,7,1
20130207,10,1
20130207,7,1
20130208,1,0
20130208,10,1
20130208,10,1
20130208,10,1
20130209,10,1
20130209,10,1
20130209,5,1
20130209,5,1
20130210,5,1
20130210,4,1
20130210,5,1
20130210,10,1
20130211,10,1
20130211,10,1
20130211,5,1
20130211,2,1
20130212,5,1
20130212,3,1
20130212,7,1
20130212,10,1
20130214,10,1
20130214,10,1
20130214,10,1
20130214,10,1
20130215,10,1
20130215,10,1
20130215,10,1
20130215,10,1
20130217,10,1
20130217,10,1
20130217,10,1
20130217,10,1
20130219,5,1
20130219,10,1
20130219,10,1
20130219,10,1
20130220,10,1
20130220,7,1
20130220,5,1
20130220,5,1
20130221,7,1
20130221,4,1
20130221,7,1
20130221,10,1
20130222,10,1
20130222,10,1
20130222,10,1
20130222,10,1
20130223,10,1
20130223,10,1
20130223,10,1
20130223,10,1
20130224,10,1
20130224,5,1
20130224,10,1
20130224,5,1
