C0_Prob,C1_Prob
0.30172613,0.69827384
0.20802198,0.791978
0.10129914,0.8987009
0.005784641,0.9942154
0.001058673,0.99894136
0.015392158,0.9846079
0.01121545,0.98878455
0.00341756,0.99658245
0.010281414,0.98971856
0.020221116,0.9797789
0.2998679,0.7001321
0.19131505,0.80868495
0.000791413,0.9992086
0.00809424,0.9919058
0.003747376,0.99625254
0.006394298,0.99360573
0.001289339,0.99871063
0.002040662,0.9979594
0.002263825,0.9977362
0.001819533,0.9981805
0.011056382,0.9889436
0.2999642,0.70003587
0.08678069,0.91321933
0.7101304,0.28986958
0.9919742,0.008025855
0.98243827,0.017561799
0.8077314,0.19226861
0.3911043,0.6088957
0.003264329,0.99673563
0.000139822,0.99986017
0.000163033,0.9998369
0.000303742,0.99969625
0.011090083,0.9889099
0.001104993,0.998895
6.26E-06,0.9999937
2.84E-06,0.99999714
2.15E-06,0.99999785
0.000166095,0.9998338
7.47E-05,0.9999254
0.000127185,0.9998728
0.00699477,0.9930052
0.03369242,0.9663076
0.001338816,0.99866116
4.30E-05,0.99995697
1.75E-05,0.9999825
0.005867997,0.994132
0.000241049,0.9997589
3.66E-05,0.9999634
0.000122789,0.9998772
0.03316157,0.9668384
0.016930223,0.9830698
0.023560666,0.97643936
0.046116874,0.95388305
0.11514995,0.88484997
0.027743028,0.97225696
0.028506003,0.971494
0.031978343,0.9680217
0.20235854,0.79764146
0.025051888,0.97494817
0.01395472,0.9860453
0.0368372,0.96316284
0.078592435,0.9214076
0.004894833,0.99510515
0.005562869,0.9944371
0.033718422,0.96628153
0.046546206,0.95345384
0.070120685,0.92987937
0.15814155,0.8418584
0.1728765,0.8271235
0.00500195,0.9949981
7.23E-07,0.9999993
0.000153695,0.99984634
0.000197283,0.99980277
0.000526079,0.999474
0.000183569,0.9998165
0.000124648,0.9998753
0.00431505,0.995685
0.012241685,0.98775834
0.010523593,0.98947644
0.001231661,0.99876827
0.003852564,0.9961474
0.005299492,0.99470055
0.000595945,0.9994041
0.000301109,0.9996989
0.31351382,0.6864861
0.7236592,0.27634072
0.059886493,0.9401135
0.09045122,0.90954876
0.34026188,0.6597381
0.70049906,0.29950094
0.5139454,0.48605454
0.18875754,0.81124246
0.88315034,0.11684969
0.41886893,0.58113104
0.00109672,0.9989033
0.000564789,0.99943525
0.001993752,0.9980063
0.015435275,0.9845648
0.014663929,0.985336
0.17694955,0.82305044
0.63447475,0.36552528
0.5426795,0.45732048
0.17809084,0.8219092
0.1407773,0.85922265
0.09071916,0.9092809
0.08797763,0.9120224
0.0570779,0.94292206
0.3915562,0.60844386
0.3774911,0.62250894
0.6872339,0.3127661
0.23326933,0.76673067
0.07076743,0.9292326
0.00016641,0.9998336
0.000318507,0.9996815
0.000130698,0.9998692
0.000509539,0.9994904
0.000547376,0.99945265
0.004931883,0.9950681
0.000303286,0.99969673
0.000169012,0.99983096
0.000183168,0.99981683
0.000368895,0.99963105
0.000238033,0.999762
0.00041088,0.99958915
0.3779394,0.6220606
0.18142739,0.81857264
0.00025255,0.99974746
2.39E-05,0.99997616
0.00196244,0.9980375
0.0332727,0.9667273
0.020969152,0.9790308
0.13204986,0.86795014
0.36465028,0.63534975
0.612522,0.38747793
0.19555862,0.80444133
0.27372155,0.7262785
0.20136881,0.7986312
0.10178842,0.89821154
0.024280252,0.97571975
0.010727507,0.9892725
0.03412607,0.9658739
0.024643436,0.9753566
0.003151652,0.9968483
0.011262955,0.98873705
0.058832478,0.9411675
0.101751454,0.8982485
0.005250825,0.9947491
0.12808381,0.8719162
0.5817901,0.4182099
0.8385497,0.16145033
0.08469228,0.91530776
3.72E-05,0.9999628
4.87E-06,0.9999951
0.002256474,0.9977436
0.000179363,0.99982065
0.000597428,0.9994025
0.003866172,0.9961338
0.009998579,0.99000144
0.006580012,0.99341995
0.005681684,0.9943183
0.002202243,0.9977977
0.000235851,0.99976414
1.52E-05,0.99998474
8.07E-06,0.9999919
4.74E-05,0.99995255
4.56E-06,0.99999547
4.01E-05,0.99995995
0.001484425,0.99851555
0.000664088,0.99933594
0.001074651,0.99892527
1.52E-08,1
3.53E-07,0.99999964
1.20E-08,1
6.45E-07,0.9999994
5.11E-05,0.99994886
0.000178874,0.9998211
0.000826833,0.9991731
0.000985103,0.99901485
0.000301503,0.9996985
0.001054416,0.99894565
0.12165727,0.87834275
0.09476727,0.9052327
0.001578327,0.99842167
3.13E-05,0.99996877
2.93E-05,0.9999707
0.001307852,0.9986922
5.22E-05,0.9999478
1.74E-05,0.9999826
0.004220912,0.99577904
0.003934534,0.99606544
0.000534414,0.99946564
0.000311029,0.999689
0.004844945,0.9951551
0.02032096,0.9796791
0.01480647,0.98519355
0.012621514,0.98737854
0.022838334,0.9771617
0.007767504,0.99223244
0.004881471,0.9951185
0.017599467,0.98240054
5.32E-07,0.9999995
7.00E-07,0.9999993
2.97E-05,0.9999703
0.00017618,0.99982387
0.000445963,0.999554
0.000339055,0.99966097
0.000182164,0.9998179
3.80E-05,0.999962
8.55E-05,0.9999145
0.001324025,0.998676
6.44E-06,0.99999356
1.66E-06,0.99999833
8.38E-06,0.99999166
0.001380145,0.9986199
5.18E-05,0.99994826
5.72E-06,0.9999943
0.000749844,0.9992501
0.003638886,0.9963611
0.001223102,0.99877685
0.000551984,0.999448
0.025605028,0.9743949
0.077994056,0.9220059
0.008975116,0.99102485
0.09611683,0.90388316
0.70670664,0.29329336
0.6432852,0.35671476
0.050828945,0.94917107
0.8010405,0.19895954
0.32528117,0.67471886
0.3919842,0.6080158
0.041084886,0.9589152
0.15604836,0.8439516
0.2579749,0.74202514
0.055485066,0.9445149
1.89E-05,0.99998105
3.18E-07,0.99999964
1.06E-05,0.9999894
0.00040224,0.9995977
0.002788662,0.9972114
0.002230838,0.99776924
0.16989021,0.8301098
0.43379423,0.5662058
0.017597942,0.982402
0.044578746,0.9554212
0.3050025,0.6949975
0.88820004,0.111799955
0.42699188,0.5730081
0.7229442,0.2770558
0.84149855,0.15850143
0.3631675,0.63683254
0.000169627,0.99983037
6.25E-07,0.9999994
6.26E-07,0.9999994
3.86E-06,0.9999962
9.87E-06,0.9999901
1.60E-06,0.99999845
5.72E-05,0.9999428
8.00E-06,0.999992
1.03E-06,0.9999989
3.44E-07,0.99999964
2.86E-05,0.9999714
0.000167697,0.9998323
2.26E-05,0.99997735
0.000441765,0.99955827
0.001859781,0.9981402
0.000742808,0.99925715
0.000390208,0.99960977
4.40E-05,0.999956
0.000926478,0.9990735
0.004167867,0.99583215
0.000456176,0.99954385
3.82E-05,0.99996173
0.003753509,0.9962465
0.005213266,0.99478674
0.010732858,0.9892671
0.006068323,0.99393165
0.111085,0.888915
0.36723623,0.6327638
0.012710901,0.9872891
0.019801648,0.9801983
0.10902704,0.8909729
0.043212295,0.95678765
0.018426685,0.98157334
0.001392414,0.9986076
0.002716558,0.99728346
0.05545816,0.9445418
0.00157267,0.9984274
0.000127119,0.9998729
0.002704308,0.9972957
0.00157349,0.99842656
7.80E-05,0.9999219
4.02E-05,0.9999597
0.000310199,0.9996898
0.001221209,0.99877876
5.67E-05,0.9999434
0.000101169,0.9998988
0.002174188,0.9978258
0.006267137,0.99373287
0.000968548,0.9990314
0.000621794,0.9993782
0.005648638,0.9943514
0.08920692,0.91079307
0.008212474,0.9917875
0.036051,0.96394897
0.16883627,0.8311637
0.21843724,0.7815628
0.03422384,0.96577615
0.15278143,0.84721863
0.03167637,0.96832365
0.000795341,0.9992047
1.60E-05,0.999984
3.58E-05,0.99996424
0.005039617,0.9949603
0.005896458,0.9941036
0.000137599,0.99986243
6.88E-05,0.9999312
1.25E-05,0.9999875
0.000802771,0.9991972
0.000485789,0.9995142
0.000149256,0.99985075
0.010906586,0.9890934
0.06944514,0.93055487
0.04409057,0.95590943
0.08485448,0.9151455
0.55224377,0.44775626
0.9238891,0.07611089
0.13352719,0.8664728
0.11494719,0.88505274
0.5119997,0.48800027
0.3253849,0.6746151
0.19493294,0.80506706
0.25232744,0.74767256
0.20501657,0.79498345
0.5798381,0.42016196
0.5141022,0.48589778
0.001738271,0.99826175
3.27E-06,0.9999968
0.000188415,0.9998116
0.00010578,0.99989426
6.45E-05,0.9999355
0.014269788,0.9857302
0.019956639,0.9800434
0.00078518,0.99921477
0.000627541,0.99937254
0.002458423,0.99754155
0.003016789,0.99698323
0.003199829,0.9968002
0.001013714,0.9989863
0.002495489,0.99750453
0.015573416,0.98442656
0.002149587,0.9978504
