C0_Prob,C1_Prob
0.005579894,0.9944201
8.32E-06,0.99999166
1.52E-07,0.9999999
2.08E-10,1
5.06E-12,1
1.30E-10,1
1.36E-10,1
5.50E-12,1
1.68E-09,1
5.51E-08,1
1.10E-07,0.9999999
2.26E-08,1
3.90E-08,1
0.001610433,0.9983896
1.99E-05,0.9999801
2.21E-06,0.99999774
2.59E-05,0.99997413
0.00058845,0.9994116
0.000609798,0.99939024
0.000936087,0.9990639
0.01146376,0.98853624
0.998574,0.001425935
0.054613367,0.9453866
0.9991503,0.000849707
0.99999154,8.48E-06
0.36916438,0.63083565
0.000105949,0.999894
0.000235628,0.9997644
2.29E-05,0.9999771
2.63E-05,0.99997365
5.14E-11,1
2.23E-08,1
5.23E-07,0.9999995
0.000153759,0.9998462
3.11E-05,0.9999689
2.87E-05,0.9999713
4.27E-05,0.9999573
0.008511802,0.9914882
0.000553482,0.99944645
6.03E-05,0.9999397
0.000382961,0.999617
0.047432765,0.9525672
3.87E-05,0.9999614
1.23E-06,0.9999988
3.84E-07,0.99999964
0.000135442,0.9998646
2.78E-06,0.99999726
8.86E-07,0.99999917
2.23E-05,0.9999777
0.011890044,0.98810995
6.89E-05,0.9999311
0.00044118,0.99955875
6.13E-05,0.9999387
0.088002495,0.91199756
9.61E-06,0.99999034
4.78E-08,1
1.07E-08,1
5.04E-06,0.999995
1.92E-11,1
1.44E-10,1
7.06E-09,1
0.01913892,0.980861
5.53E-06,0.9999945
0.0002504,0.9997496
0.00025586,0.9997441
0.002273356,0.9977266
8.19E-05,0.9999181
0.000104341,0.9998957
0.00845872,0.9915413
1.27E-05,0.99998724
7.07E-08,0.9999999
3.91E-10,1
4.60E-05,0.999954
0.00091711,0.9990829
1.05E-06,0.9999989
3.16E-07,0.99999964
1.20E-06,0.9999988
0.000426063,0.9995739
2.56E-06,0.9999974
2.59E-05,0.99997413
0.000103347,0.99989665
0.01874284,0.9812571
3.28E-05,0.9999672
2.89E-06,0.99999714
0.000269203,0.99973077
0.46251652,0.5374835
0.002233417,0.9977666
0.001817415,0.99818265
0.00145784,0.9985422
0.34482184,0.6551782
0.008235896,0.9917641
0.00024194,0.99975806
0.99770266,0.002297386
0.028180946,0.97181904
8.60E-06,0.9999914
3.50E-06,0.99999654
2.27E-05,0.99997735
0.000540501,0.99945945
6.41E-05,0.99993587
9.62E-05,0.9999038
0.007139043,0.992861
0.007377172,0.99262285
0.001633479,0.99836653
1.78E-05,0.9999821
4.27E-05,0.9999573
0.003969175,0.99603075
0.000656086,0.99934393
2.42E-06,0.9999976
0.000177659,0.9998223
0.013615505,0.98638445
0.0861013,0.91389877
5.84E-05,0.9999416
9.68E-05,0.9999032
0.001039933,0.99896
1.91E-06,0.9999981
3.81E-05,0.99996185
8.47E-05,0.99991524
6.52E-05,0.9999348
0.000113132,0.9998869
2.87E-05,0.9999713
0.000120249,0.9998797
0.002923487,0.9970765
4.59E-06,0.99999547
9.84E-08,0.9999999
0.000236661,0.9997633
5.08E-06,0.9999949
3.26E-10,1
8.70E-10,1
2.03E-08,1
7.78E-06,0.99999225
3.85E-05,0.9999615
4.71E-06,0.99999523
0.00022861,0.9997714
0.003261777,0.99673826
0.00194295,0.99805707
2.72E-06,0.99999726
0.000494597,0.9995054
0.000374321,0.9996257
2.95E-06,0.999997
1.17E-07,0.9999999
5.50E-08,1
3.07E-07,0.99999964
2.80E-07,0.99999976
6.93E-06,0.9999931
0.001852839,0.99814713
0.043769587,0.95623046
