,Unnamed: 0,Date,VIS,CAT,CAT1600,CAT3200,CAT6400
0,0,20130101,5.0,1,1,1,0
1,1,20130101,7.0,1,1,1,1
2,2,20130101,10.0,1,1,1,1
3,3,20130101,10.0,1,1,1,1
4,4,20130104,10.0,1,1,1,1
5,5,20130104,10.0,1,1,1,1
6,6,20130104,10.0,1,1,1,1
7,7,20130104,10.0,1,1,1,1
8,8,20130105,10.0,1,1,1,1
9,9,20130105,10.0,1,1,1,1
10,10,20130105,4.0,1,1,1,0
11,11,20130105,10.0,1,1,1,1
12,12,20130107,10.0,1,1,1,1
13,13,20130107,10.0,1,1,1,1
14,14,20130107,10.0,1,1,1,1
15,15,20130107,10.0,1,1,1,1
16,16,20130110,7.0,1,1,1,1
17,17,20130110,7.0,1,1,1,1
18,18,20130110,10.0,1,1,1,1
19,19,20130110,10.0,1,1,1,1
20,20,20130111,10.0,1,1,1,1
21,21,20130111,0.25,0,0,0,0
22,22,20130111,10.0,1,1,1,1
23,23,20130111,0.5,0,0,0,0
24,24,20130112,0.5,0,0,0,0
25,25,20130112,2.5,1,1,0,0
26,26,20130112,3.0,1,1,0,0
27,27,20130112,2.0,1,1,0,0
28,28,20130116,10.0,1,1,1,1
29,29,20130116,10.0,1,1,1,1
30,30,20130116,10.0,1,1,1,1
31,31,20130116,10.0,1,1,1,1
32,32,20130117,10.0,1,1,1,1
33,33,20130117,10.0,1,1,1,1
34,34,20130117,10.0,1,1,1,1
35,35,20130117,10.0,1,1,1,1
36,36,20130118,10.0,1,1,1,1
37,37,20130118,10.0,1,1,1,1
38,38,20130118,10.0,1,1,1,1
39,39,20130118,10.0,1,1,1,1
40,40,20130121,10.0,1,1,1,1
41,41,20130121,10.0,1,1,1,1
42,42,20130121,10.0,1,1,1,1
43,43,20130121,10.0,1,1,1,1
44,44,20130122,10.0,1,1,1,1
45,45,20130122,10.0,1,1,1,1
46,46,20130122,10.0,1,1,1,1
47,47,20130122,10.0,1,1,1,1
48,48,20130123,7.0,1,1,1,1
49,49,20130123,5.0,1,1,1,0
50,50,20130123,10.0,1,1,1,1
51,51,20130123,10.0,1,1,1,1
52,52,20130124,7.0,1,1,1,1
53,53,20130124,7.0,1,1,1,1
54,54,20130124,10.0,1,1,1,1
55,55,20130124,10.0,1,1,1,1
56,56,20130125,7.0,1,1,1,1
57,57,20130125,5.0,1,1,1,0
58,58,20130125,10.0,1,1,1,1
59,59,20130125,7.0,1,1,1,1
60,60,20130126,7.0,1,1,1,1
61,61,20130126,7.0,1,1,1,1
62,62,20130126,10.0,1,1,1,1
63,63,20130126,10.0,1,1,1,1
64,64,20130127,10.0,1,1,1,1
65,65,20130127,7.0,1,1,1,1
66,66,20130127,7.0,1,1,1,1
67,67,20130127,7.0,1,1,1,1
68,68,20130130,10.0,1,1,1,1
69,69,20130130,10.0,1,1,1,1
70,70,20130130,10.0,1,1,1,1
71,71,20130130,10.0,1,1,1,1
72,72,20130131,10.0,1,1,1,1
73,73,20130131,10.0,1,1,1,1
74,74,20130131,10.0,1,1,1,1
75,75,20130131,10.0,1,1,1,1
76,76,20130202,10.0,1,1,1,1
77,77,20130202,10.0,1,1,1,1
78,78,20130202,10.0,1,1,1,1
79,79,20130202,10.0,1,1,1,1
80,80,20130203,10.0,1,1,1,1
81,81,20130203,10.0,1,1,1,1
82,82,20130203,10.0,1,1,1,1
83,83,20130203,10.0,1,1,1,1
84,84,20130205,7.0,1,1,1,1
85,85,20130205,2.5,1,1,0,0
86,86,20130205,10.0,1,1,1,1
87,87,20130205,7.0,1,1,1,1
88,88,20130207,7.0,1,1,1,1
89,89,20130207,7.0,1,1,1,1
90,90,20130207,10.0,1,1,1,1
91,91,20130207,7.0,1,1,1,1
92,92,20130208,1.0,0,0,0,0
93,93,20130208,10.0,1,1,1,1
94,94,20130208,10.0,1,1,1,1
95,95,20130208,10.0,1,1,1,1
96,96,20130209,10.0,1,1,1,1
97,97,20130209,10.0,1,1,1,1
98,98,20130209,5.0,1,1,1,0
99,99,20130209,5.0,1,1,1,0
100,100,20130210,5.0,1,1,1,0
101,101,20130210,4.0,1,1,1,0
102,102,20130210,5.0,1,1,1,0
103,103,20130210,10.0,1,1,1,1
104,104,20130211,10.0,1,1,1,1
105,105,20130211,10.0,1,1,1,1
106,106,20130211,5.0,1,1,1,0
107,107,20130211,2.0,1,1,0,0
108,108,20130212,5.0,1,1,1,0
109,109,20130212,3.0,1,1,0,0
110,110,20130212,7.0,1,1,1,1
111,111,20130212,10.0,1,1,1,1
112,112,20130214,10.0,1,1,1,1
113,113,20130214,10.0,1,1,1,1
114,114,20130214,10.0,1,1,1,1
115,115,20130214,10.0,1,1,1,1
116,116,20130215,10.0,1,1,1,1
117,117,20130215,10.0,1,1,1,1
118,118,20130215,10.0,1,1,1,1
119,119,20130215,10.0,1,1,1,1
120,120,20130217,10.0,1,1,1,1
121,121,20130217,10.0,1,1,1,1
122,122,20130217,10.0,1,1,1,1
123,123,20130217,10.0,1,1,1,1
124,124,20130219,5.0,1,1,1,0
125,125,20130219,10.0,1,1,1,1
126,126,20130219,10.0,1,1,1,1
127,127,20130219,10.0,1,1,1,1
128,128,20130220,10.0,1,1,1,1
129,129,20130220,7.0,1,1,1,1
130,130,20130220,5.0,1,1,1,0
131,131,20130220,5.0,1,1,1,0
132,132,20130221,7.0,1,1,1,1
133,133,20130221,4.0,1,1,1,0
134,134,20130221,7.0,1,1,1,1
135,135,20130221,10.0,1,1,1,1
136,136,20130222,10.0,1,1,1,1
137,137,20130222,10.0,1,1,1,1
138,138,20130222,10.0,1,1,1,1
139,139,20130222,10.0,1,1,1,1
140,140,20130223,10.0,1,1,1,1
141,141,20130223,10.0,1,1,1,1
142,142,20130223,10.0,1,1,1,1
143,143,20130223,10.0,1,1,1,1
144,144,20130224,10.0,1,1,1,1
145,145,20130224,5.0,1,1,1,0
146,146,20130224,10.0,1,1,1,1
147,147,20130224,5.0,1,1,1,0
148,148,20130225,0.5,0,0,0,0
149,149,20130225,0.5,0,0,0,0
150,150,20130225,7.0,1,1,1,1
151,151,20130225,7.0,1,1,1,1
152,152,20130226,10.0,1,1,1,1
153,153,20130226,10.0,1,1,1,1
154,154,20130226,10.0,1,1,1,1
155,155,20130226,10.0,1,1,1,1
156,156,20130227,10.0,1,1,1,1
157,157,20130227,10.0,1,1,1,1
158,158,20130227,10.0,1,1,1,1
159,159,20130227,10.0,1,1,1,1
160,160,20130228,10.0,1,1,1,1
161,161,20130228,10.0,1,1,1,1
162,162,20130228,10.0,1,1,1,1
163,163,20130228,10.0,1,1,1,1
164,164,20130301,10.0,1,1,1,1
165,165,20130301,10.0,1,1,1,1
166,166,20130301,10.0,1,1,1,1
167,167,20130301,10.0,1,1,1,1
168,168,20130302,10.0,1,1,1,1
169,169,20130302,10.0,1,1,1,1
170,170,20130302,10.0,1,1,1,1
171,171,20130302,10.0,1,1,1,1
172,172,20130303,10.0,1,1,1,1
173,173,20130303,10.0,1,1,1,1
174,174,20130303,10.0,1,1,1,1
175,175,20130303,10.0,1,1,1,1
176,176,20130304,10.0,1,1,1,1
177,177,20130304,10.0,1,1,1,1
178,178,20130304,7.0,1,1,1,1
179,179,20130304,7.0,1,1,1,1
180,180,20130305,7.0,1,1,1,1
181,181,20130305,5.0,1,1,1,0
182,182,20130305,10.0,1,1,1,1
183,183,20130305,10.0,1,1,1,1
184,184,20130306,10.0,1,1,1,1
185,185,20130306,10.0,1,1,1,1
186,186,20130306,10.0,1,1,1,1
187,187,20130306,10.0,1,1,1,1
188,188,20130307,10.0,1,1,1,1
189,189,20130307,10.0,1,1,1,1
190,190,20130307,10.0,1,1,1,1
191,191,20130307,10.0,1,1,1,1
192,192,20130308,10.0,1,1,1,1
193,193,20130308,7.0,1,1,1,1
194,194,20130308,10.0,1,1,1,1
195,195,20130308,7.0,1,1,1,1
196,196,20130309,7.0,1,1,1,1
197,197,20130309,7.0,1,1,1,1
198,198,20130309,7.0,1,1,1,1
199,199,20130309,5.0,1,1,1,0
200,200,20130311,10.0,1,1,1,1
201,201,20130311,10.0,1,1,1,1
202,202,20130311,10.0,1,1,1,1
203,203,20130311,10.0,1,1,1,1
204,204,20130312,10.0,1,1,1,1
205,205,20130312,10.0,1,1,1,1
206,206,20130312,10.0,1,1,1,1
207,207,20130312,10.0,1,1,1,1
208,208,20130313,10.0,1,1,1,1
209,209,20130313,10.0,1,1,1,1
210,210,20130313,10.0,1,1,1,1
211,211,20130313,10.0,1,1,1,1
212,212,20130314,10.0,1,1,1,1
213,213,20130314,10.0,1,1,1,1
214,214,20130314,10.0,1,1,1,1
215,215,20130314,10.0,1,1,1,1
216,216,20130316,10.0,1,1,1,1
217,217,20130316,10.0,1,1,1,1
218,218,20130316,10.0,1,1,1,1
219,219,20130316,7.0,1,1,1,1
220,220,20130317,7.0,1,1,1,1
221,221,20130317,7.0,1,1,1,1
222,222,20130317,7.0,1,1,1,1
223,223,20130317,7.0,1,1,1,1
224,224,20130318,1.5,1,1,0,0
225,225,20130318,7.0,1,1,1,1
226,226,20130318,7.0,1,1,1,1
