feature,group,PSS_Mean,PSS_STD,HSS_Mean,HSS_STD,CSS_Mean,CSS_STD
FRICV_surface_T1,G1,0.52,0.01,0.51,0.01,0.5,0
FRICV_surface_T2,G1,0.54,0.01,0.52,0.04,0.51,0.03
FRICV_surface_T3,G1,0.54,0,0.52,0.1,0.5,0.02
FRICV_surface_T4,G1,0.52,0,0.51,0.08,0.5,0.02
UGRD_10maboveground_T1,G1,0.52,0,0.5,0.07,0.49,0.02
UGRD_10maboveground_T2,G1,0.54,0,0.52,0.07,0.5,0
UGRD_10maboveground_T3,G1,0.54,0.01,0.51,0.07,0.49,0.02
UGRD_10maboveground_T4,G1,0.54,0,0.52,0.07,0.51,0.08
UGRD_975mb_T1,G1,0.54,0,0.52,0.06,0.51,0.03
UGRD_975mb_T2,G1,0.53,0.01,0.52,0.09,0.5,0.02
UGRD_975mb_T3,G1,0.54,0.01,0.51,0.09,0.49,0.02
UGRD_975mb_T4,G1,0.55,0.01,0.53,0.06,0.51,0.06
UGRD_950mb_T1,G1,0.54,0.01,0.52,0,0.51,0.03
UGRD_950mb_T2,G1,0.54,0,0.53,0.06,0.52,0.02
UGRD_950mb_T3,G1,0.52,0,0.49,0.1,0.46,0.01
UGRD_950mb_T4,G1,0.52,0.01,0.49,0.07,0.47,0.06
UGRD_925mb_T1,G1,0.54,0,0.51,0.01,0.49,0.05
UGRD_925mb_T2,G1,0.53,0,0.51,0,0.48,0.05
UGRD_925mb_T3,G1,0.53,0,0.51,0.04,0.48,0.02
UGRD_925mb_T4,G1,0.52,0,0.51,0.07,0.49,0.07
UGRD_900mb_T2,G1,0.51,0,0.5,0,0.49,0.03
UGRD_900mb_T3,G1,0.49,0,0.49,0.07,0.48,0.05
UGRD_900mb_T4,G1,0.54,0.01,0.51,0.04,0.49,0.07
UGRD_875mb_T1,G1,0.54,0.01,0.51,0.01,0.49,0.07
UGRD_875mb_T2,G1,0.52,0.01,0.5,0.03,0.48,0.01
UGRD_875mb_T3,G1,0.52,0,0.5,0,0.48,0.01
UGRD_875mb_T4,G1,0.54,0.01,0.53,0.07,0.52,0.07
UGRD_850mb_T1,G1,0.52,0,0.51,0.03,0.51,0
UGRD_850mb_T2,G1,0.51,0.01,0.5,0.01,0.49,0.03
UGRD_850mb_T4,G1,0.54,0.01,0.53,0.1,0.51,0.05
UGRD_825mb_T1,G1,0.51,0,0.5,0.02,0.49,0.04
UGRD_825mb_T2,G1,0.52,0,0.52,0.09,0.52,0.05
UGRD_825mb_T3,G1,0.51,0,0.51,0.08,0.51,0.01
UGRD_825mb_T4,G1,0.51,0.01,0.5,0.09,0.49,0.05
UGRD_800mb_T1,G1,0.54,0,0.52,0.06,0.51,0.07
UGRD_800mb_T2,G1,0.53,0,0.51,0.03,0.48,0.01
UGRD_800mb_T3,G1,0.54,0.01,0.52,0.02,0.5,0.03
UGRD_800mb_T4,G1,0.54,0.01,0.52,0.03,0.5,0.01
UGRD_775mb_T1,G1,0.52,0,0.51,0,0.49,0.06
UGRD_775mb_T2,G1,0.53,0.01,0.49,0.05,0.45,0
UGRD_775mb_T3,G1,0.52,0.01,0.52,0.08,0.52,0.07
UGRD_775mb_T4,G1,0.54,0,0.52,0.03,0.5,0.04
UGRD_750mb_T1,G1,0.52,0,0.51,0.06,0.49,0.03
UGRD_750mb_T2,G1,0.54,0.01,0.52,0.04,0.51,0.02
UGRD_750mb_T3,G1,0.51,0,0.5,0.03,0.5,0.08
