,Feature,POD_mean,F_mean,FAR_mean,CSI_mean,PSS_mean,HSS_mean,ORSS_mean,CSS_mean
0,FRICV_surface,0.52238806,0.017584452,0.520547945,0.333333333,0.504803608,0.483812033,0.967797037,0.464602867
1,FRICV_surface,0.507462687,0.017584452,0.527777778,0.323809524,0.489878235,0.472783992,0.965847813,0.4569161
2,FRICV_surface,0.507462687,0.017584452,0.527777778,0.323809524,0.489878235,0.472783992,0.965847813,0.4569161
3,FRICV_surface,0.52238806,0.015270708,0.485294118,0.35,0.507117352,0.503476556,0.972039822,0.499891068
4,UGRD_10maboveground,0.507462687,0.017121703,0.521126761,0.326923077,0.490340984,0.476556469,0.966747008,0.463574213
5,UGRD_10maboveground,0.507462687,0.017121703,0.521126761,0.326923077,0.490340984,0.476556469,0.966747008,0.463574213
6,UGRD_10maboveground,0.507462687,0.0180472,0.534246575,0.320754717,0.489415486,0.469063805,0.964948594,0.4504402
7,UGRD_10maboveground,0.507462687,0.017121703,0.521126761,0.326923077,0.490340984,0.476556469,0.966747008,0.463574213
8,UGRD_975mb,0.507462687,0.016658954,0.514285714,0.330097087,0.490803732,0.480382348,0.967646178,0.470422349
9,UGRD_975mb,0.507462687,0.016658954,0.514285714,0.330097087,0.490803732,0.480382348,0.967646178,0.470422349
10,UGRD_975mb,0.507462687,0.0180472,0.534246575,0.320754717,0.489415486,0.469063805,0.964948594,0.4504402
11,UGRD_975mb,0.507462687,0.015733457,0.5,0.336633663,0.49172923,0.488198911,0.969444444,0.484722222
12,UGRD_950mb,0.52238806,0.015270708,0.485294118,0.35,0.507117352,0.503476556,0.972039822,0.499891068
13,UGRD_950mb,0.52238806,0.014807959,0.47761194,0.353535354,0.5075801,0.5075801,0.972888177,0.5075801
14,UGRD_950mb,0.52238806,0.017121703,0.513888889,0.336538462,0.505266357,0.487635147,0.968645729,0.471268811
15,UGRD_950mb,0.52238806,0.015270708,0.485294118,0.35,0.507117352,0.503476556,0.972039822,0.499891068
16,UGRD_925mb,0.52238806,0.015733457,0.492753623,0.346534653,0.506654603,0.499431513,0.9711914,0.4924247
17,UGRD_925mb,0.52238806,0.016658954,0.507042254,0.339805825,0.505729106,0.491511999,0.969494353,0.478122327
18,UGRD_925mb,0.52238806,0.016196205,0.5,0.343137255,0.506191854,0.495443729,0.97034291,0.485171455
19,UGRD_925mb,0.52238806,0.016196205,0.5,0.343137255,0.506191854,0.495443729,0.97034291,0.485171455
20,UGRD_900mb,0.52238806,0.015733457,0.492753623,0.346534653,0.506654603,0.499431513,0.9711914,0.4924247
21,UGRD_900mb,0.52238806,0.015733457,0.492753623,0.346534653,0.506654603,0.499431513,0.9711914,0.4924247
22,UGRD_900mb,0.507462687,0.015733457,0.5,0.336633663,0.49172923,0.488198911,0.969444444,0.484722222
23,UGRD_900mb,0.52238806,0.015733457,0.492753623,0.346534653,0.506654603,0.499431513,0.9711914,0.4924247
24,UGRD_875mb,0.507462687,0.015733457,0.5,0.336633663,0.49172923,0.488198911,0.969444444,0.484722222
25,UGRD_875mb,0.507462687,0.015270708,0.492537313,0.34,0.492191979,0.492191979,0.970343541,0.492191979
26,UGRD_875mb,0.492537313,0.015270708,0.5,0.33,0.477266605,0.480743008,0.968547641,0.484273821
27,UGRD_875mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
28,UGRD_850mb,0.462686567,0.016196205,0.53030303,0.303921569,0.446490362,0.449742591,0.962481017,0.453045721
29,UGRD_850mb,0.462686567,0.016196205,0.53030303,0.303921569,0.446490362,0.449742591,0.962481017,0.453045721
30,UGRD_850mb,0.432835821,0.015733457,0.53968254,0.287128713,0.417102364,0.429526526,0.958967844,0.442765497
31,UGRD_850mb,0.447761194,0.015733457,0.53125,0.297029703,0.432027737,0.441607952,0.96133276,0.451652033
32,UGRD_825mb,0.432835821,0.015270708,0.532258065,0.29,0.417565113,0.433229191,0.96016898,0.450198076
33,UGRD_825mb,0.447761194,0.016196205,0.538461538,0.294117647,0.431564989,0.437898145,0.960199769,0.44443259
34,UGRD_825mb,0.432835821,0.015270708,0.532258065,0.29,0.417565113,0.433229191,0.96016898,0.450198076
35,UGRD_825mb,0.432835821,0.015270708,0.532258065,0.29,0.417565113,0.433229191,0.96016898,0.450198076
36,UGRD_800mb,0.432835821,0.015270708,0.532258065,0.29,0.417565113,0.433229191,0.96016898,0.450198076
37,UGRD_800mb,0.462686567,0.017584452,0.550724638,0.295238095,0.445102116,0.438756544,0.9592742,0.432600976
38,UGRD_800mb,0.432835821,0.015270708,0.532258065,0.29,0.417565113,0.433229191,0.96016898,0.450198076
39,UGRD_800mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
40,UGRD_775mb,0.447761194,0.015270708,0.523809524,0.3,0.432490486,0.445373011,0.962465993,0.459100407
41,UGRD_775mb,0.47761194,0.017121703,0.536231884,0.307692308,0.460490237,0.453925286,0.962606298,0.447556907
42,UGRD_775mb,0.432835821,0.013882462,0.508474576,0.298969072,0.418953359,0.444678215,0.963774448,0.474005829
43,UGRD_775mb,0.432835821,0.014807959,0.524590164,0.292929293,0.418027862,0.436987834,0.961370459,0.457874072
44,UGRD_750mb,0.462686567,0.015270708,0.515625,0.31,0.447415859,0.457337306,0.964619691,0.46773914
45,UGRD_750mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
46,UGRD_750mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
47,UGRD_750mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
48,UGRD_725mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
49,UGRD_725mb,0.462686567,0.016196205,0.53030303,0.303921569,0.446490362,0.449742591,0.962481017,0.453045721
50,UGRD_725mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
51,UGRD_725mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
52,UGRD_700mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
53,UGRD_700mb,0.447761194,0.017121703,0.552238806,0.288461538,0.430639491,0.430639491,0.95793452,0.430639491
54,UGRD_700mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
55,UGRD_700mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
56,VGRD_10maboveground,0.462686567,0.014807959,0.507936508,0.313131313,0.447878608,0.461219497,0.965689267,0.475435317
57,VGRD_10maboveground,0.447761194,0.014345211,0.508196721,0.306122449,0.433415983,0.453073896,0.964733193,0.474728982
58,VGRD_10maboveground,0.462686567,0.014807959,0.507936508,0.313131313,0.447878608,0.461219497,0.965689267,0.475435317
59,VGRD_10maboveground,0.462686567,0.014807959,0.507936508,0.313131313,0.447878608,0.461219497,0.965689267,0.475435317
60,VGRD_975mb,0.47761194,0.014807959,0.5,0.323232323,0.462803981,0.473066659,0.967652495,0.483826248
61,VGRD_975mb,0.47761194,0.014807959,0.5,0.323232323,0.462803981,0.473066659,0.967652495,0.483826248
62,VGRD_975mb,0.47761194,0.014807959,0.5,0.323232323,0.462803981,0.473066659,0.967652495,0.483826248
63,VGRD_975mb,0.47761194,0.014807959,0.5,0.323232323,0.462803981,0.473066659,0.967652495,0.483826248
64,VGRD_950mb,0.47761194,0.016196205,0.52238806,0.31372549,0.461415735,0.461415735,0.964624514,0.461415735
65,VGRD_950mb,0.47761194,0.014807959,0.5,0.323232323,0.462803981,0.473066659,0.967652495,0.483826248
66,VGRD_950mb,0.47761194,0.015733457,0.515151515,0.316831683,0.461878484,0.465242799,0.965633754,0.468659771
67,VGRD_950mb,0.47761194,0.013882462,0.483870968,0.329896907,0.463729478,0.481125315,0.969671587,0.499970214
68,VGRD_925mb,0.462686567,0.013882462,0.491803279,0.319587629,0.448804105,0.469159958,0.967828897,0.491583893
69,VGRD_925mb,0.47761194,0.012494216,0.457627119,0.340425532,0.465117725,0.493677196,0.97270088,0.526236413
70,VGRD_925mb,0.47761194,0.014345211,0.492063492,0.326530612,0.46326673,0.477065982,0.968661997,0.491770226
71,VGRD_925mb,0.47761194,0.013882462,0.483870968,0.329896907,0.463729478,0.481125315,0.969671587,0.499970214
72,VGRD_900mb,0.47761194,0.014345211,0.492063492,0.326530612,0.46326673,0.477065982,0.968661997,0.491770226
73,VGRD_900mb,0.47761194,0.014807959,0.5,0.323232323,0.462803981,0.473066659,0.967652495,0.483826248
74,VGRD_900mb,0.47761194,0.015270708,0.507692308,0.32,0.462341232,0.469126026,0.966643081,0.476126463
75,VGRD_900mb,0.462686567,0.015270708,0.515625,0.31,0.447415859,0.457337306,0.964619691,0.46773914
76,VGRD_875mb,0.47761194,0.014345211,0.492063492,0.326530612,0.46326673,0.477065982,0.968661997,0.491770226
